date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
1992-03-01,13.15,25.31,12.48,0.14,0.23,3.46,31.36,6.86,2.4,0.16,1.72,16.78,4.3,0.77,0.16,6.46,67.4,14.76,2.67,0.71,13.78,60.44,16.89,0.16,1.26,16.49,62.56,10.12,1.42,1.38,14.47,61.74,12.87,1.24
1993-03-01,13.03,25.0,12.46,0.2,0.22,3.93,32.65,7.18,2.43,0.13,2.07,15.52,4.49,1.34,0.73,16.55,63.18,8.52,2.04,0.72,13.74,60.2,17.13,0.12,1.18,14.48,63.03,11.89,1.27,1.49,13.96,61.92,13.43,0.93
1994-03-01,13.29,24.42,10.82,0.17,0.24,3.16,30.47,6.86,2.41,0.18,2.24,16.46,3.82,0.82,2.18,16.35,62.51,8.42,1.5,0.99,14.76,60.36,15.67,0.14,0.82,13.54,62.84,13.24,1.45,1.28,12.91,62.85,13.81,1.02
1995-03-01,12.57,26.46,11.89,0.15,0.37,5.32,35.07,5.19,1.47,0.26,2.21,16.19,3.83,0.38,0.32,13.52,65.85,9.38,2.43,0.89,14.86,59.69,16.4,0.11,1.2,13.46,64.6,11.44,1.23,1.62,11.32,63.11,14.44,1.37
1996-03-01,14.86,23.91,12.15,0.15,0.23,4.28,33.65,5.58,1.6,0.13,1.83,18.24,4.19,0.73,0.29,11.47,66.53,11.51,1.74,0.86,13.7,60.58,16.71,0.11,1.29,16.61,63.12,10.13,0.78,1.39,14.92,60.69,13.64,1.22
1997-03-01,12.43,26.35,12.14,0.15,0.21,4.41,35.93,5.32,1.44,0.46,2.14,14.36,4.25,1.12,0.74,16.07,64.33,9.29,1.31,1.06,14.62,59.57,16.55,0.13,1.08,16.13,62.81,10.95,0.97,1.44,13.81,62.04,13.2,1.32
1998-03-01,13.6,26.06,11.27,0.15,0.24,4.18,34.3,6.15,1.75,0.11,1.97,17.32,3.95,0.44,1.11,17.45,62.56,8.83,1.54,0.87,14.15,61.46,15.35,0.11,1.45,13.93,60.47,14.47,1.49,1.47,13.46,54.57,19.54,2.76
1999-03-01,13.48,26.18,11.25,0.16,0.14,3.86,36.13,5.58,1.46,0.18,2.09,15.79,5.02,0.88,1.19,17.16,61.82,9.97,1.57,0.77,13.91,60.47,16.7,0.11,0.87,16.31,63.47,10.49,0.8,1.5,16.59,61.55,11.33,0.94
2000-03-01,12.49,27.0,11.43,0.16,0.28,4.2,35.24,5.88,1.44,0.15,2.16,16.04,3.84,0.46,1.09,13.88,65.5,10.22,1.11,0.69,13.41,60.79,16.95,0.12,0.7,13.95,64.41,11.94,0.93,1.78,14.96,60.68,13.3,1.0
2001-03-01,12.89,27.16,10.87,0.16,0.22,3.54,34.52,6.43,1.82,0.12,1.38,15.28,3.93,1.03,0.63,10.71,68.39,10.64,1.27,0.84,14.13,60.45,16.43,0.1,0.71,14.42,63.72,11.73,1.29,1.29,14.03,62.52,12.73,1.25
2002-03-01,13.33,26.05,11.53,0.17,0.18,3.54,35.3,6.36,1.76,0.12,1.36,16.73,4.1,0.33,0.2,11.37,68.35,10.58,1.17,0.65,13.92,60.01,17.27,0.14,0.79,10.14,63.19,14.58,2.96,1.42,13.29,64.53,11.62,0.95
2003-03-01,13.82,25.84,11.27,0.15,0.19,3.2,34.92,7.06,1.92,0.03,1.91,17.28,3.35,0.64,0.31,9.46,67.26,12.12,2.07,0.72,14.04,60.03,17.03,0.16,1.16,12.87,58.89,16.29,2.47,2.01,14.95,60.51,13.15,1.17
2004-03-01,13.57,27.03,10.33,0.15,0.2,4.0,34.78,5.98,1.72,0.07,1.78,17.78,3.65,0.55,0.2,9.03,67.65,12.85,1.86,0.63,13.17,59.99,18.01,0.18,0.82,11.85,62.33,14.38,2.2,2.05,13.26,63.4,12.05,0.79
2005-03-01,13.27,27.06,10.57,0.18,0.27,3.9,35.15,6.06,1.58,0.12,1.98,16.57,3.64,0.65,0.64,14.54,65.92,9.22,1.34,0.78,13.35,60.1,17.59,0.15,0.88,11.61,60.43,16.13,2.65,1.5,13.26,60.88,14.74,1.48
2006-03-01,13.68,26.76,10.47,0.17,0.2,3.73,35.11,6.0,1.69,0.03,1.83,17.28,3.42,0.69,0.13,5.37,59.75,21.33,4.7,0.88,13.49,60.28,17.11,0.19,1.02,13.26,59.94,15.16,2.39,1.54,14.93,60.95,13.07,1.32
2007-03-01,12.2,27.55,11.16,0.16,0.23,4.1,35.57,5.7,1.52,0.11,2.7,14.49,4.03,0.43,1.51,7.78,62.13,16.75,3.25,0.72,13.98,60.12,16.94,0.2,0.89,11.22,59.5,17.19,2.86,1.97,12.72,59.74,15.47,1.68
