name,ft_frozen,ft_thawed,ft_trans,ft_itrans,fw_fw_06_swe_-3,fw_fw_06_swe_-2,fw_fw_06_swe_-1,fw_fw_06_swe_+1,fw_fw_06_swe_+2,swe_swe_average_-3,swe_swe_average_-2,swe_swe_average_-1,swe_swe_average_+1,swe_swe_average_+2,energy_sw_up_-3,energy_sw_up_-2,energy_sw_up_-1,energy_sw_up_+1,energy_sw_up_+2,energy_sw_dn_-3,energy_sw_dn_-2,energy_sw_dn_-1,energy_sw_dn_+1,energy_sw_dn_+2,energy_lw_up_-3,energy_lw_up_-2,energy_lw_up_-1,energy_lw_up_+1,energy_lw_up_+2,energy_lw_dn_-3,energy_lw_dn_-2,energy_lw_dn_-1,energy_lw_dn_+1,energy_lw_dn_+2
0,51,19,13,8,0,0,41,15,0,0,0,22,17,2,0,0,73,5,4,0,0,83,8,0,0,0,91,0,0,0,4,87,0,0
0,24,48,3,16,0,17,0,0,0,0,0,6,51,0,0,0,78,9,4,0,0,84,7,0,0,1,90,0,0,0,3,87,1,0
0,32,34,17,8,0,0,14,0,0,0,0,0,60,0,0,0,82,5,4,0,0,84,7,0,0,3,88,0,0,0,3,87,1,0
0,38,40,4,9,0,14,42,2,1,0,0,5,51,0,0,0,78,9,4,0,0,85,6,0,0,1,59,31,0,0,3,88,0,0
0,23,47,20,1,0,0,0,0,0,0,0,12,59,1,0,0,79,7,5,0,0,89,2,0,0,0,91,0,0,0,0,91,0,0
0,21,46,23,1,0,0,0,0,0,0,0,13,59,0,0,0,79,6,4,0,0,89,2,0,0,0,91,0,0,0,0,90,1,0
0,24,37,29,1,0,0,0,0,0,0,1,12,59,0,0,0,80,5,4,0,0,89,2,0,0,0,91,0,0,0,0,90,1,0
0,68,5,17,1,0,0,0,0,0,0,0,6,65,1,0,0,74,11,5,0,0,85,6,0,0,0,87,4,0,0,0,83,8,0
0,71,5,14,1,0,0,0,0,0,0,0,4,66,2,0,2,75,9,4,0,0,86,5,0,0,1,89,1,0,0,2,81,8,0
0,65,6,19,1,0,0,0,0,0,0,0,0,62,10,0,0,74,10,6,0,0,86,5,0,0,1,87,3,0,0,1,81,9,0
0,52,14,25,0,0,0,0,0,0,0,0,6,46,0,0,0,62,10,13,0,0,81,10,0,0,0,91,0,0,0,2,89,0,0
0,53,7,20,11,0,6,41,7,0,0,0,15,36,4,0,0,71,6,14,0,0,82,9,0,0,2,89,0,0,0,2,89,0,0
0,38,15,28,10,0,0,45,14,0,0,0,6,27,4,0,0,47,23,12,0,0,82,9,0,0,0,91,0,0,0,1,89,1,0
0,47,12,25,7,0,5,30,3,0,0,0,7,36,4,0,0,61,24,6,0,0,81,10,0,0,0,91,0,0,0,2,86,3,0
0,42,27,18,4,0,0,32,11,12,0,0,35,23,0,0,14,74,3,0,0,0,81,10,0,0,0,91,0,0,0,1,88,2,0
0,48,23,18,2,0,6,46,6,0,0,0,11,30,17,0,0,86,3,1,0,0,91,0,0,0,0,91,0,0,0,0,88,3,0
0,36,31,15,9,0,1,45,9,3,0,0,7,18,0,0,12,73,6,0,0,0,81,10,0,0,0,91,0,0,0,3,87,1,0
0,47,20,20,4,2,10,46,0,0,0,0,33,26,13,0,0,82,5,2,0,0,91,0,0,0,0,91,0,0,0,0,87,4,0
